iteration,model,hp,dim_method,do_scale,filter_low_temp,n_pca,other_cols,dataset_size,mae,rmse,r2,r2_std,score
751,SVM,"{'C': 10, 'kernel': 'poly', 'gamma': 'scale', 'epsilon': 0.01}",,True,False,N/A,['drugConcentration'],297,25.38581794232191,33.411253233740354,-1.0189296634571028,0.06816067926612356,-1.0870903427232264
952,SVM,"{'C': 0.1, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.1}",freq,True,True,N/A,[],203,17.72904050101404,20.140980364298326,-0.7380718112598185,0.8596015884332758,-1.5976733996930943
647,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1.0}",freq,True,True,N/A,[],203,19.286550101991807,21.076497906390077,-0.9994176579945221,1.0169420288719289,-2.016359686866451
212,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 1.0}",freq,True,True,N/A,[],203,19.130929216093367,20.8502891036438,-0.9838477222878642,1.0467537641322995,-2.0306014864201636
680,ET,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'max_features': 'log2'}",,False,True,N/A,['relationExtrusionWeight'],193,21.24760921196421,23.182978264048586,-1.5647331610291646,0.8811752870243185,-2.445908448053483
204,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],203,20.63020667125838,22.577967590713282,-1.1871618488902866,1.2867902085243088,-2.4739520574145955
417,RF,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 0.5}",,False,True,N/A,['relationExtrusionWeight'],193,21.254787705277888,23.195368480985632,-1.5755861406158138,0.9076688064900902,-2.483254947105904
796,ET,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",,False,True,N/A,['relationExtrusionWeight'],193,21.210361215375173,23.162581499316545,-1.5853128725523773,0.9373928103477343,-2.5227056829001118
939,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,False,N/A,[],297,24.398905001014537,30.20925884073446,-1.25863153184323,1.315326274484551,-2.573957806327781
987,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,False,N/A,[],297,24.408626302568425,30.22129562699074,-1.2624790432822162,1.3202078885008846,-2.5826869317831007
561,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,True,False,N/A,[],297,23.949077908016374,29.61408711100331,-1.2368263077112376,1.4102278213840334,-2.647054129095271
81,SVM,"{'C': 0.1, 'kernel': 'poly', 'gamma': 'scale', 'epsilon': 0.1}",pca,False,True,5,[],203,21.545022556946396,24.54293149082282,-1.6069504650318323,1.077919057090979,-2.684869522122811
620,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],203,18.647930802273596,21.276465756853455,-1.1259465743991408,1.624216218517857,-2.750162792916998
292,SVM,"{'C': 1, 'kernel': 'poly', 'gamma': 'scale', 'epsilon': 1.0}",freq,True,True,N/A,[],203,24.120736415664197,29.49387174197379,-2.351760073212159,0.4401374181848951,-2.7918974913970542
605,SVM,"{'C': 1, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 1.0}",freq,True,True,N/A,[],203,22.156581770998255,25.494821414597777,-1.7595955089253572,1.0849373200009955,-2.8445328289263525
21,RF,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 0.5}",freq,True,False,N/A,[],297,22.125544964187963,28.700779689079543,-1.310802884092156,1.6333483340622459,-2.944151218154402
588,RF,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 10, 'max_features': 0.5}",freq,True,False,N/A,"['printerBrandType', 'relationExtrusionWeight']",262,21.177206556722776,26.0859749686143,-1.3645731852880534,1.5905042187078402,-2.955077403995894
856,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",,True,True,N/A,['drugConcentration'],203,21.96061269970133,25.249997544049947,-1.8014958327519632,1.2299780018138033,-3.031473834565767
920,RF,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,False,N/A,[],297,22.10585806017842,28.807733817980033,-1.3505419009430149,1.684411120342863,-3.0349530212858777
492,ET,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'log2'}",pca,True,True,20,[],203,20.443697621584995,22.1532547265203,-1.4119642058863053,1.6473080348924227,-3.059272240778728
860,RF,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,False,N/A,[],297,22.230127342034336,28.83577544552637,-1.3613817549858467,1.7000587924974186,-3.061440547483265
145,RF,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 10, 'max_features': 'sqrt'}",freq,True,False,N/A,[],297,22.230127342034336,28.83577544552637,-1.3613817549858467,1.7000587924974186,-3.061440547483265
